Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,1.15,0.36,0.04,0.04,1.59,96,16,9.2,568,Nintendo,T
Dead Rising,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85,82,7.6,520,Capcom,M
Saints Row,2006,Action,THQ,1.17,0.77,0.02,0.22,2.18,81,74,7.5,211,Volition Inc.,M
Rayman Raving Rabbids,2006,Misc,Ubisoft,1.22,0.06,0.02,0.11,1.42,76,54,7.9,116,Ubisoft Montpellier,E
Need for Speed Carbon,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74,26,8.4,60,EA Canada,E10+
Pokemon Ranger,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69,21,7.6,50,HAL Labs,E
Fight Night Round 3,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,86,67,8.8,264,EA Chicago,T
WWE SmackDown vs. RAW 2007,2006,Fighting,THQ,1.4,0.88,0.03,0.26,2.58,80,27,8.6,57,Yuke's,T
Tom Clancy's Ghost Recon Advanced Warfighter,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54,90,78,8,215,Ubisoft Paris,T
NCAA Football 07,2006,Sports,Electronic Arts,1.41,0.05,0,0.23,1.7,87,18,8.6,23,EA Sports,E
Yoshi's Island DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,81,42,7.4,67,Artoon,E
Call of Duty 3,2006,Shooter,Activision,1.49,0.92,0.02,0.27,2.7,82,71,6.5,233,Treyarch,T
MotorStorm,2006,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87,84,9,7.4,220,Evolution Studios,T
Grand Theft Auto: Liberty City Stories,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,78,49,7.8,112,Rockstar Leeds,M
Madden NFL 07,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.8,80,54,6,148,EA Tiburon,E
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,M
Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,Insomniac Games,M
SOCOM: U.S. Navy SEALs: Combined Assault,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04,72,38,9,34,Zipper Interactive,T
LEGO Star Wars II: The Original Trilogy,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,84,32,9,41,Traveller's Tales,E10+
Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T
Marvel: Ultimate Alliance,2006,Role-Playing,Activision,2.29,0.02,0,0.19,2.5,82,68,7.5,120,Raven Software,T
Daxter,2006,Platform,Sony Computer Entertainment,2.45,1.01,0,0.75,4.21,85,59,8.7,109,Ready at Dawn,E10+
The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94,90,8.7,1109,Bethesda Softworks,M
Cooking Mama,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,E
Gears of War,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Epic Games,M
Madden NFL 07,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,EA Sports,E
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T
Guitar Hero II,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,T
New Super Mario Bros.,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,E
Wii Play,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
Wii Sports,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo,E
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,0,1.12,0,0.03,1.15,92,40,8.5,2360,Infinity Ward,M
The Orange Box,2007,Shooter,Electronic Arts,0,0.11,0,0.03,0.14,96,34,9.3,1495,Valve Software,M
Crysis,2007,Shooter,Electronic Arts,0,0.69,0,0.02,0.71,91,56,8,1970,Crytek,M
Age of Empires III: The Asian Dynasties,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,81,19,8.5,71,Big Huge Games,T
Empire Earth III,2007,Strategy,Vivendi Games,0,0.03,0,0.01,0.04,50,40,2.8,53,Mad Doc Software,T
Medal of Honor: Airborne,2007,Shooter,Electronic Arts,0,0.04,0,0.01,0.05,78,38,7.3,204,Electronic Arts,T
Need for Speed: ProStreet,2007,Racing,Electronic Arts,0,0.04,0,0.01,0.04,70,18,5.9,163,EA Games,E10+
Pony Friends,2007,Simulation,Eidos Interactive,0,0.04,0,0.01,0.04,67,8,6.6,12,Tantalus Interactive,E
Record of Agarest War,2007,Role-Playing,Ghostlight,0,0.03,0.03,0.01,0.07,67,7,6.8,34,Compile Heart,T
Silent Hunter: Wolves of the Pacific,2007,Simulation,Ubisoft,0,0.04,0,0.01,0.05,79,22,6.9,40,Ubisoft Romania,T
Supreme Commander,2007,Strategy,THQ,0,0.04,0,0.01,0.05,86,44,8.3,263,Gas Powered Games,E10+
The Witcher,2007,Role-Playing,Atari,0,0.05,0,0.01,0.06,81,50,8.8,1116,CD Projekt Red Studio,M
Tomb Raider: Anniversary,2007,Action,Eidos Interactive,0,0.03,0,0.01,0.03,83,26,8.1,242,Nixxes Software,T
Unreal Tournament III,2007,Shooter,Midway Games,0,0.05,0,0.01,0.06,83,41,8,523,Epic Games,M
World in Conflict,2007,Strategy,Vivendi Games,0,0.03,0,0.01,0.04,89,44,8.1,301,Massive Entertainment,T
Battlestations: Midway,2007,Strategy,Eidos Interactive,0,0.01,0,0,0.01,76,20,7.3,46,Eidos Interactive,T
Chibi-Robo! Park Patrol,2007,Adventure,Unknown,0,0,0.19,0,0.19,78,14,7.5,13,Skip Ltd.,E
Chili Con Carnage,2007,Shooter,Eidos Interactive,0,0.01,0,0,0.02,74,37,8.2,13,Deadline Games,M
City Life: World Edition,2007,Simulation,Monte Christo Multimedia,0,0.04,0,0,0.04,75,7,8.2,9,Monte Cristo Multimedia,E
Clive Barker's Jericho,2007,Shooter,Codemasters,0,0.01,0,0,0.01,63,25,7.5,218,"Mercury Steam, Alchemic Productions",M
Combat Mission: Shock Force,2007,Strategy,Paradox Interactive,0,0.03,0,0,0.03,62,15,3.3,86,Big Time Software,T
DiRT,2007,Racing,Codemasters,0,0.02,0,0,0.02,84,20,7.3,91,Codemasters,E
FIFA Soccer 08,2007,Sports,Electronic Arts,0,0.01,0,0,0.02,77,7,6.1,50,EA Canada,E
Gears of War,2007,Shooter,Microsoft Game Studios,0,0.01,0,0,0.02,87,36,7.8,567,Epic Games,M
Guilty Gear XX Accent Core,2007,Fighting,Unknown,0,0,0.04,0,0.04,77,9,8.3,16,Arc System Works,T
Harry Potter and the Order of the Phoenix,2007,Action,Electronic Arts,0,0.03,0,0,0.04,63,11,7.1,34,EA Games,E10+
Hellgate: London,2007,Role-Playing,Electronic Arts,0,0.02,0,0,0.02,70,40,6.3,374,Flagship Studios,M
Hoshigami: Ruining Blue Earth Remix,2007,Role-Playing,505 Games,0,0,0.01,0,0.01,55,13,7.9,11,Barnhouse Effect,T
Hospital Tycoon,2007,Strategy,Codemasters,0,0.01,0,0,0.01,51,8,3.8,29,Big Red Software,E10+
Juiced 2: Hot Import Nights,2007,Racing,THQ,0,0.01,0,0,0.01,61,6,5,42,Juice Games,T
Legend: Hand of God,2007,Role-Playing,DTP Entertainment,0,0.02,0,0,0.02,57,9,5.8,19,Master Creating,M
Medal of Honor: Vanguard,2007,Shooter,Electronic Arts,0,0,0.03,0,0.03,63,29,6.1,34,Electronic Arts,T
Metal Slug Anthology,2007,Shooter,Ignition Entertainment,0,0,0.01,0,0.01,80,20,8.1,16,Terminal Reality,T
MLB Power Pros,2007,Sports,Konami Digital Entertainment,0,0,0.11,0,0.11,80,10,8.8,11,Konami,E
Nervous Brickdown,2007,Puzzle,Eidos Interactive,0,0.01,0,0,0.02,70,21,7.5,11,Arkedo Studio,E
Neverwinter Nights 2: Mask of the Betrayer,2007,Role-Playing,Atari,0,0.01,0,0,0.01,82,25,8.8,182,Obsidian Entertainment,T
Overlord,2007,Strategy,Codemasters,0,0.02,0,0,0.02,81,27,8.1,220,Triumph Studios,T
Rail Simulator,2007,Simulation,Electronic Arts,0,0.01,0,0,0.01,72,13,6.9,24,Kuju Entertainment,E
Resident Evil 4,2007,Action,Ubisoft,0,0.02,0,0,0.03,76,15,7.4,242,Capcom,M
Retro Game Challenge,2007,Action,Namco Bandai Games,0,0,0.11,0,0.11,77,30,7.3,15,Indies Zero,E
Romance of the Three Kingdoms XI,2007,Strategy,Tecmo Koei,0,0,0.07,0,0.07,69,10,8.4,8,Koei,E10+
Sega Rally Revo,2007,Racing,Sega,0,0.01,0,0,0.01,74,9,7.6,18,SEGA Racing Studio,E
Shining Force EXA,2007,Role-Playing,Sega,0,0,0.1,0,0.1,64,24,7.3,17,Neverland,E10+
Ship Simulator 2008,2007,Simulation,Lighthouse Interactive,0,0.01,0,0,0.01,62,9,6.6,8,VSTEP,E
SimCity Societies,2007,Simulation,Electronic Arts,0,0.02,0,0,0.02,63,27,4.3,95,Tilted Mill,E10+
Test Drive Unlimited,2007,Racing,Atari,0,0.02,0,0,0.02,79,18,8.1,124,Eden Studios,T
Theatre Of War,2007,Strategy,Kalypso Media,0,0.01,0,0,0.01,66,13,6.2,21,"Battlefront.com, 1C, 1C Company",T
Theme Park,2007,Simulation,Electronic Arts,0,0.02,0.03,0,0.06,72,15,7.6,14,EA Japan Studio,E
Viva Pinata,2007,Simulation,Microsoft Game Studios,0,0.02,0,0,0.02,78,20,7.8,20,"Climax Group, Climax Studios",E
Women's Volleyball Championship,2007,Sports,Spike,0,0,0.03,0,0.03,32,7,4,4,Spike,E
Worldwide Soccer Manager 2008,2007,Sports,Russel,0,1.12,0,0,1.12,86,15,8,19,Sports Interactive,E
Worms,2007,Strategy,Microsoft Game Studios,0,0.02,0,0,0.02,75,25,6.9,28,Team 17,E10+
Spider-Man 3,2007,Platform,Activision,0.01,0.23,0,0.05,0.3,52,7,7.4,9,Treyarch,T
BioShock,2007,Shooter,Take-Two Interactive,0.01,0.39,0,0.02,0.41,96,44,8.5,3606,"Irrational Games, 2K Marin",M
Halo 2,2007,Shooter,Microsoft Game Studios,0.01,0.06,0,0.02,0.09,72,32,5.6,216,Microsoft Game Studios,M
Company of Heroes: Opposing Fronts,2007,Strategy,THQ,0.01,0.03,0,0.01,0.04,87,36,8.6,235,Relic,M
Rocky Balboa,2007,Sports,Ubisoft,0.01,0.09,0,0.01,0.1,58,17,6.6,11,Ubisoft,T
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,Shooter,THQ,0.01,0.04,0,0.01,0.06,82,44,8.4,1088,GSC Game World,M
Smash Court Tennis 3,2007,Sports,Namco Bandai Games,0.01,0.01,0.01,0.01,0.04,68,30,6.3,4,"Namco Bandai Games America, Namco Bandai Games",E
The Sims 2: Seasons,2007,Simulation,Electronic Arts,0.01,0.04,0,0.01,0.07,78,20,7.3,29,Maxis,T
Driver: Parallel Lines,2007,Racing,Ubisoft,0.01,0.01,0,0,0.03,59,9,6,20,Reflections Interactive,M
Drone Tactics,2007,Strategy,Success,0.01,0,0,0,0.02,74,12,7.4,7,Success,E10+
Dungeon Explorer: Warriors of Ancient Arts,2007,Role-Playing,Rising Star Games,0.01,0,0,0,0.01,56,13,5.5,4,Hudson Soft,T
Enemy Territory: Quake Wars,2007,Shooter,Activision,0.01,0,0,0,0.02,84,55,8.3,231,Splash Damage,T
F.E.A.R. Perseus Mandate,2007,Shooter,Vivendi Games,0.01,0,0,0,0.01,61,27,7.3,106,TimeGate Studios,M
Front Mission,2007,Strategy,Square Enix,0.01,0,0.03,0,0.04,72,19,8.9,9,Square Enix,E10+
Fullmetal Alchemist: Trading Card Game,2007,Misc,Destineer,0.01,0,0,0,0.01,61,7,7.5,4,Magellan Interactive,T
GrimGrimoire,2007,Strategy,Tecmo Koei,0.01,0.01,0.03,0,0.05,79,39,7.9,17,Vanilla Ware,E10+
Meteos: Disney Magic,2007,Puzzle,Disney Interactive Studios,0.01,0.02,0,0,0.04,74,36,6.6,5,Q Entertainment,E
Puzzle Quest: Challenge of the Warlords,2007,Puzzle,D3Publisher,0.01,0,0,0,0.02,84,32,8,19,"Vicious Cycle, Infinite Interactive",E10+
Spider-Man: Friend or Foe,2007,Action,Activision,0.01,0,0,0,0.01,57,9,5.3,11,Beenox,E10+
Supreme Commander: Forged Alliance,2007,Strategy,THQ,0.01,0.02,0,0,0.04,81,35,8.9,219,Gas Powered Games,E10+
The Settlers: Rise of an Empire,2007,Strategy,Ubisoft,0.01,0.01,0,0,0.02,66,19,7.7,44,Blue Byte,E10+
The Sims 2: Bon Voyage,2007,Simulation,Electronic Arts,0.01,0.01,0,0,0.03,74,9,7.3,24,Maxis,T
TimeShift,2007,Shooter,Vivendi Games,0.01,0,0,0,0.01,71,30,7.6,124,Saber Interactive,M
Burnout Dominator,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.05,0.45,76,23,8.2,27,Criterion Games,E10+
Metal Slug Anthology,2007,Shooter,Ignition Entertainment,0.02,0,0.02,0.01,0.05,78,26,7.4,25,Terminal Reality,T
Virtua Tennis 3,2007,Sports,Sega,0.02,0.02,0,0.01,0.05,79,17,7.7,13,Sumo Digital,E
AniMates!,2007,Simulation,Lexicon Entertainment,0.02,0,0,0,0.03,33,4,2.5,4,Dreamcatcher,E
Balls of Fury,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02,19,6,2.8,25,Black Lantern Studios,E10+
Dragoneer's Aria,2007,Role-Playing,Tecmo Koei,0.02,0,0.05,0,0.07,56,30,6,7,Hit Maker,E10+
Guitar Hero III: Legends of Rock,2007,Misc,Aspyr,0.02,0,0,0,0.02,79,15,7.2,63,Aspyr,T
Napoleon Dynamite: The Game,2007,Puzzle,Crave Entertainment,0.02,0,0,0,0.03,45,9,7.3,4,7 Studios,E10+
Rugby 08,2007,Sports,Electronic Arts,0.02,0.01,0,0,0.04,74,21,7.4,25,EA Canada,E
Spider-Man 3,2007,Platform,Activision,0.02,0,0,0,0.02,62,16,7.1,29,Beenox,T
The Fast and the Furious,2007,Racing,Deep Silver,0.02,0,0,0,0.02,58,7,5.3,6,Eutechnyx,T
Aliens vs Predator: Requiem,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,49,34,5.6,19,Rebellion,T
Driver '76,2007,Racing,Ubisoft,0.03,0.14,0,0.07,0.24,57,28,7.9,18,Sumo Digital,M
Sega Rally Revo,2007,Racing,Sega,0.03,0.15,0,0.07,0.25,74,14,7.2,9,Bugbear,E
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07,37,19,5.9,10,Creat Studios,M
Mana Khemia: Alchemists of Al-Revis,2007,Role-Playing,Nippon Ichi Software,0.03,0.02,0,0.01,0.06,69,20,7.5,41,Gust,E10+
Bionicle Heroes,2007,Shooter,Eidos Interactive,0.03,0,0,0,0.04,52,7,5.8,5,Traveller's Tales,E10+
Brothers In Arms DS,2007,Shooter,Ubisoft,0.03,0,0,0,0.04,72,27,8,25,Gameloft,T
Bubble Bobble Double Shot,2007,Puzzle,Rising Star Games,0.03,0,0,0,0.04,50,12,4.8,4,Marvelous Entertainment,E
Code Lyoko,2007,Action,Game Factory,0.03,0.01,0,0,0.05,63,11,6.8,13,DC Studios,E10+
Guilty Gear XX Accent Core,2007,Fighting,505 Games,0.03,0,0,0,0.04,75,15,8.4,19,Arc System Works,T
Hot Pixel,2007,Puzzle,Atari,0.03,0,0,0,0.03,55,35,6.5,6,zSlide,T
N+,2007,Platform,Atari,0.03,0,0,0,0.03,79,21,7.8,18,"Metanet Software Inc., SilverBirch Studios",E
Napoleon Dynamite: The Game,2007,Puzzle,Crave Entertainment,0.03,0,0,0,0.04,37,14,4.6,7,7 Studios,E10+
NBA 08,2007,Sports,Sony Computer Entertainment,0.03,0,0,0,0.03,75,18,7.5,8,SCEA,E
Samurai Warriors 2: Empires,2007,Action,Tecmo Koei,0.03,0,0.01,0,0.04,53,29,8.5,13,Omega Force,T
Surf's Up,2007,Sports,Ubisoft,0.03,0,0,0,0.04,59,8,5.1,7,Ubisoft Montreal,E10+
SWAT: Target Liberty,2007,Shooter,Vivendi Games,0.03,0,0,0,0.04,50,26,7.7,9,3G Studios,T
Thrillville: Off the Rails,2007,Strategy,LucasArts,0.03,0.01,0,0,0.04,59,6,6.2,5,DC Studios,E
TMNT,2007,Action,Ubisoft,0.03,0.01,0,0,0.04,42,10,2.2,5,Ubisoft Quebec,E10+
Virtua Tennis 3,2007,Sports,Sega,0.03,0.01,0,0,0.04,80,34,6.8,26,Sumo Digital,E
SingStar Pop,2007,Misc,Sony Computer Entertainment,0.04,1.08,0,0.32,1.44,73,13,7.5,8,SCEE London Studio,E10+
Worms: Open Warfare 2,2007,Strategy,THQ,0.04,0.26,0,0.14,0.44,80,26,8.1,25,"Team 17, Two Tribes",E10+
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,74,19,6.1,47,Konami,E
Manhunt 2,2007,Action,Take-Two Interactive,0.04,0.17,0,0.09,0.31,69,15,8.1,38,Rockstar London,M
Alvin and the Chipmunks,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,33,5,4.5,6,Sensory Sweep,E
Samurai Warriors 2: Xtreme Legends,2007,Action,Tecmo Koei,0.04,0.03,0,0.01,0.09,50,11,8,9,Koei,T
Cabela's Trophy Bucks,2007,Sports,Activision Value,0.04,0,0,0,0.05,39,4,3,4,FUN Labs,T
Castle of Shikigami III,2007,Shooter,PQube,0.04,0,0,0,0.04,67,9,7.6,9,Alfa System,T
Dead Head Fred,2007,Action,D3Publisher,0.04,0,0,0,0.04,75,30,7.3,23,Vicious Cycle,M
Fantastic Four: Rise of the Silver Surfer,2007,Action,Take-Two Interactive,0.04,0.01,0,0,0.05,39,16,5.9,15,7 Studios,T
Fantastic Four: Rise of the Silver Surfer,2007,Action,Take-Two Interactive,0.04,0,0,0,0.04,35,8,4.8,13,7 Studios,E10+
Pool Party,2007,Sports,SouthPeak Games,0.04,0,0,0,0.05,32,13,0.7,6,SouthPeak Games,E
UEFA Champions League 2006-2007,2007,Sports,Electronic Arts,0.04,0.01,0,0,0.05,72,27,8.2,10,EA Canada,E
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63,82,10,7.9,38,Konami,E
Baroque,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,60,6,8.8,44,Sting,T
Bee Movie Game,2007,Action,Activision,0.05,0.04,0,0.01,0.1,65,11,7.5,4,Beenox,E
Coded Arms: Contagion,2007,Shooter,Konami Digital Entertainment,0.05,0,0,0.01,0.06,56,20,6.6,28,Creat Studios,T
Dokapon Kingdom,2007,Role-Playing,Sting,0.05,0.04,0.02,0.01,0.11,61,8,6.5,8,Sting,E10+
MotoGP '07,2007,Racing,Capcom,0.05,0.04,0,0.01,0.1,62,26,9.1,7,Milestone,E
R-Type Command,2007,Strategy,Rising Star Games,0.05,0,0.01,0.01,0.07,69,29,6.5,6,Irem,E10+
"Warhammer 40,000: Squad Command",2007,Strategy,THQ,0.05,0.01,0,0.01,0.06,57,21,7.9,16,THQ,T
Alien Syndrome,2007,Role-Playing,Sega,0.05,0,0,0,0.06,48,24,7.1,23,Totally Games,T
Alvin and the Chipmunks,2007,Misc,Eidos Interactive,0.05,0,0,0,0.05,30,4,3.6,20,Sensory Sweep,E
Furu Furu Park,2007,Misc,Taito,0.05,0,0,0,0.05,43,16,4.8,5,"Taito Corporation, 505 Games",E10+
Izuna 2: The Unemployed Ninja Returns,2007,Role-Playing,Success,0.05,0,0,0,0.06,65,18,7.9,13,Ninja Studio,T
Jenga World Tour,2007,Misc,Atari,0.05,0,0,0,0.05,26,14,2.8,11,Atomic Planet Entertainment,E
The History Channel: Battle for the Pacific,2007,Shooter,Activision,0.05,0,0,0,0.06,35,11,6.1,21,Cauldron Ltd.,T
Tiger Woods PGA Tour 08,2007,Sports,Electronic Arts,0.05,0,0,0,0.06,81,10,7.6,8,Exient Entertainment,E
Warriors of the Lost Empire,2007,Role-Playing,Mercury Games,0.05,0,0,0,0.06,52,6,7.4,12,Platinum Egg,T
Juiced 2: Hot Import Nights,2007,Racing,THQ,0.06,0.2,0,0.11,0.37,73,6,7.8,11,Juice Games,T
Arcana Heart,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16,77,12,8.1,8,Examu,T
Puzzle Quest: Challenge of the Warlords,2007,Puzzle,D3Publisher,0.06,0.05,0,0.02,0.12,78,11,7,6,Infinite Interactive,E10+
Looney Tunes: Acme Arsenal,2007,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,0.08,40,15,6.8,13,Red Tribe,E10+
Medal of Honor: Vanguard,2007,Shooter,Electronic Arts,0.06,0.03,0,0.01,0.09,56,29,7,24,BudCat,T
World Series of Poker 2008: Battle for the Bracelets,2007,Misc,Activision,0.06,0.01,0,0.01,0.08,74,10,6.7,6,Left Field Productions,T
Anubis II,2007,Platform,Metro 3D,0.06,0,0,0,0.07,19,5,2.7,28,Data Design Interactive,E
Arkanoid DS,2007,Puzzle,Square Enix,0.06,0,0,0,0.06,61,29,7,5,Taito Corporation,E
Bomberman Land,2007,Misc,Hudson Entertainment,0.06,0,0,0,0.06,55,14,7.8,4,Racjin,E
Legend of the Dragon,2007,Fighting,Game Factory,0.06,0,0,0,0.06,37,14,4.8,5,Neko Entertainment,T
Madden NFL 08,2007,Sports,Electronic Arts,0.06,0.02,0,0,0.08,75,4,7,7,EA Tiburon,E
N+,2007,Platform,Atari,0.06,0,0,0,0.07,82,20,7.4,20,"Metanet Software Inc., SilverBirch Studios",E
NCAA Football 08,2007,Sports,Electronic Arts,0.06,0.02,0,0,0.08,82,4,8.1,8,EA Sports,E
Operation: Vietnam,2007,Shooter,Majesco Entertainment,0.06,0,0,0,0.07,65,16,6.3,4,Coyote Console,T
Showtime Championship Boxing,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0,0.06,35,7,4.7,10,Nikitova Games,E10+
Sega Rally Revo,2007,Racing,Sega,0.07,0.42,0,0.14,0.63,75,40,7,20,SEGA Racing Studio,E
Worms: Open Warfare 2,2007,Strategy,THQ,0.07,0.24,0,0.04,0.35,81,25,9.1,22,"Team 17, Two Tribes",E10+
Pursuit Force: Extreme Justice,2007,Action,Sony Computer Entertainment,0.07,0.06,0,0.03,0.17,73,44,7.6,11,Bigbig Studios,T
Alien Syndrome,2007,Role-Playing,Sega,0.07,0,0,0.01,0.08,51,20,6,9,Totally Games,T
Anno 1701: Dawn of Discovery,2007,Simulation,Touchstone,0.07,0.05,0,0.01,0.13,78,14,7.5,19,Sunflowers Interactive,E
Blacksite: Area 51,2007,Shooter,Midway Games,0.07,0.01,0,0.01,0.08,56,23,6.3,18,Midway Studios - Austin,T
Code Lyoko: Quest for Infinity,2007,Action,Game Factory,0.07,0.01,0,0.01,0.09,58,15,8.5,8,The Game Factory,E10+
Cosmic Family,2007,Misc,Ubisoft,0.07,0,0,0.01,0.08,54,6,5.7,6,Ubisoft Barcelona,E
Crush,2007,Puzzle,Sega,0.07,0,0,0.01,0.08,83,41,9,21,Zoe Mode,E10+
F.E.A.R. Files,2007,Shooter,Vivendi Games,0.07,0.01,0,0.01,0.09,66,43,7.1,16,"TimeGate Studios, Day 1 Studios",M
FlatOut: Ultimate Carnage,2007,Racing,Empire Interactive,0.07,0.02,0,0.01,0.11,80,44,8.8,66,Bugbear,T
Ninjabread Man,2007,Action,Popcorn Arcade,0.07,0,0,0.01,0.08,20,6,1.7,52,Data Design Interactive,E
One Piece: Unlimited Adventure,2007,Adventure,Namco Bandai Games,0.07,0,0.11,0.01,0.19,67,17,8.5,32,Ganbarion,T
Operation Darkness,2007,Role-Playing,Success,0.07,0,0,0.01,0.07,46,22,7,21,Success,M
Puchi Puchi Virus,2007,Puzzle,Jaleco,0.07,0,0,0.01,0.08,73,17,4.2,5,Jaleco Entertainment,E
Summon Night: Twin Age,2007,Role-Playing,Banpresto,0.07,0,0.05,0.01,0.13,73,21,7.2,11,Flight-Plan,E10+
Ultimate Mortal Kombat,2007,Fighting,Midway Games,0.07,0.01,0,0.01,0.09,73,26,8.6,22,Other Ocean Interactive,M
Victorious Boxers: Revolution,2007,Fighting,Ubisoft,0.07,0,0.06,0.01,0.14,59,26,5.4,8,Cavia Inc.,T
Wild ARMs XF,2007,Role-Playing,505 Games,0.07,0,0.06,0.01,0.14,64,22,6.6,19,Media Vision,E10+
The Sims 2: Castaway,2007,Simulation,Electronic Arts,0.08,0.46,0,0.25,0.79,64,5,7.3,18,Maxis,E10+
Test Drive Unlimited,2007,Racing,Atari,0.08,0.27,0,0.15,0.5,80,18,7.3,29,Melbourne House,E10+
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,76,29,7.8,36,Konami,E
America's Army: True Soldiers,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08,43,11,6.7,55,Red Storm Entertainment,T
Atari Classics Evolved,2007,Misc,Atari,0.08,0,0,0.01,0.09,64,17,6,4,Stainless Games,E
Beowulf: The Game,2007,Action,Ubisoft,0.08,0,0,0.01,0.09,44,4,5.4,7,Virtuos,M
Bladestorm: The Hundred Years' War,2007,Action,Tecmo Koei,0.08,0.01,0,0.01,0.09,63,26,6.8,16,Omega Force,T
Death Jr. and the Science Fair of Doom,2007,Platform,Konami Digital Entertainment,0.08,0,0,0.01,0.08,47,23,7.5,6,Foundation 9 Entertainment,E10+
Glory Days 2,2007,Strategy,Ghostlight,0.08,0,0,0.01,0.09,73,28,7.3,6,odenis studio,E10+
Heatseeker,2007,Action,Codemasters,0.08,0,0,0.01,0.1,62,25,6.2,32,IR Gurus,T
NCAA March Madness 08,2007,Sports,Electronic Arts,0.08,0,0,0.01,0.09,67,15,3.8,4,EA Canada,E
Opoona,2007,Role-Playing,Tecmo Koei,0.08,0,0.01,0.01,0.1,65,33,7.7,14,ArtePiazza,E10+
Prince of Persia: Rival Swords,2007,Action,Ubisoft,0.08,0.02,0,0.01,0.11,74,16,8.2,19,"Pipeworks Software, Inc.",T
Zoids Assault,2007,Strategy,Takara Tomy,0.08,0,0,0.01,0.09,46,17,7.3,7,Takara Tomy,T
Ratatouille,2007,Action,THQ,0.09,0.32,0,0.1,0.51,55,8,4.8,4,Heavy Iron Studios,E
Jackass the Game,2007,Action,Empire Interactive,0.09,0.08,0,0.05,0.22,58,21,7,12,Sidhe Interactive,M
Cake Mania,2007,Puzzle,Majesco Entertainment,0.09,0.01,0,0.01,0.11,55,23,6.1,7,Digital Embryo,E
Draglade,2007,Fighting,505 Games,0.09,0,0,0.01,0.1,71,23,7.5,4,Dimps Corporation,E10+
Final Fantasy Fables: Chocobo's Dungeon,2007,Role-Playing,Square Enix,0.09,0,0.11,0.01,0.21,76,34,8,20,h.a.n.d. Inc.,E10+
